label,message
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"I'll be late to the meeting, stuck in traffic."
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Can you send me the homework notes from yesterday?
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"Hey, are we still on for dinner tonight?"
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Can you send me the homework notes from yesterday?
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Let's catch up this weekend. Long time no see!
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"I'll be late to the meeting, stuck in traffic."
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Let's catch up this weekend. Long time no see!
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Let's catch up this weekend. Long time no see!
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Don't forget to bring your ID to the office tomorrow.
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Let's catch up this weekend. Long time no see!
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Let's catch up this weekend. Long time no see!
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"I'll be late to the meeting, stuck in traffic."
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Can you send me the homework notes from yesterday?
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Can you send me the homework notes from yesterday?
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Let's catch up this weekend. Long time no see!
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Can you send me the homework notes from yesterday?
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"Hey, are we still on for dinner tonight?"
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Can you send me the homework notes from yesterday?
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Can you send me the homework notes from yesterday?
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Can you send me the homework notes from yesterday?
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"Hey, are we still on for dinner tonight?"
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Don't forget to bring your ID to the office tomorrow.
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Can you send me the homework notes from yesterday?
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Can you send me the homework notes from yesterday?
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"Hey, are we still on for dinner tonight?"
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Can you send me the homework notes from yesterday?
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Don't forget to bring your ID to the office tomorrow.
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Can you send me the homework notes from yesterday?
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Can you send me the homework notes from yesterday?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,"Hey, are we still on for dinner tonight?"
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,"I'll be late to the meeting, stuck in traffic."
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Let's catch up this weekend. Long time no see!
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"Hey, are we still on for dinner tonight?"
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Don't forget to bring your ID to the office tomorrow.
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"Hey, are we still on for dinner tonight?"
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Don't forget to bring your ID to the office tomorrow.
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Let's catch up this weekend. Long time no see!
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Can you send me the homework notes from yesterday?
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Can you send me the homework notes from yesterday?
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Can you send me the homework notes from yesterday?
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Let's catch up this weekend. Long time no see!
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Don't forget to bring your ID to the office tomorrow.
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Can you send me the homework notes from yesterday?
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Can you send me the homework notes from yesterday?
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,"Hey, are we still on for dinner tonight?"
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Let's catch up this weekend. Long time no see!
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Can you send me the homework notes from yesterday?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Let's catch up this weekend. Long time no see!
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Can you send me the homework notes from yesterday?
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Can you send me the homework notes from yesterday?
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,"I'll be late to the meeting, stuck in traffic."
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Can you send me the homework notes from yesterday?
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Can you send me the homework notes from yesterday?
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"Hey, are we still on for dinner tonight?"
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Can you send me the homework notes from yesterday?
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Let's catch up this weekend. Long time no see!
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Can you send me the homework notes from yesterday?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Don't forget to bring your ID to the office tomorrow.
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"I'll be late to the meeting, stuck in traffic."
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Let's catch up this weekend. Long time no see!
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Let's catch up this weekend. Long time no see!
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Let's catch up this weekend. Long time no see!
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Let's catch up this weekend. Long time no see!
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"Hey, are we still on for dinner tonight?"
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Can you send me the homework notes from yesterday?
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Let's catch up this weekend. Long time no see!
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"I'll be late to the meeting, stuck in traffic."
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Let's catch up this weekend. Long time no see!
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Don't forget to bring your ID to the office tomorrow.
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Don't forget to bring your ID to the office tomorrow.
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Can you send me the homework notes from yesterday?
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"Hey, are we still on for dinner tonight?"
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Don't forget to bring your ID to the office tomorrow.
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"Hey, are we still on for dinner tonight?"
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Let's catch up this weekend. Long time no see!
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"Hey, are we still on for dinner tonight?"
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,"Hey, are we still on for dinner tonight?"
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,"I'll be late to the meeting, stuck in traffic."
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Can you send me the homework notes from yesterday?
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Can you send me the homework notes from yesterday?
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Can you send me the homework notes from yesterday?
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"I'll be late to the meeting, stuck in traffic."
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,"I'll be late to the meeting, stuck in traffic."
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"Hey, are we still on for dinner tonight?"
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,"Hey, are we still on for dinner tonight?"
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
ham,Let's catch up this weekend. Long time no see!
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Can you send me the homework notes from yesterday?
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"Hey, are we still on for dinner tonight?"
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Let's catch up this weekend. Long time no see!
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"Hey, are we still on for dinner tonight?"
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,"Hey, are we still on for dinner tonight?"
spam,You've been selected for a free cruise to the Bahamas! Call 0800-123-4567 now!
ham,Don't forget to bring your ID to the office tomorrow.
spam,URGENT! Your account has been compromised. Click here to secure it immediately: http://secure-now.com
ham,Can you send me the homework notes from yesterday?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,"I'll be late to the meeting, stuck in traffic."
spam,Get cheap meds online at 90% off. Visit our pharmacy now: http://cheapmeds.com
ham,Don't forget to bring your ID to the office tomorrow.
spam,Act now to get your free iPhone! Limited supply! http://freeiphone.com
